ID,text,image,label,class
1,neutral,positive,positive,2
2,neutral,positive,positive,2
3,neutral,positive,positive,2
4,positive,positive,positive,2
5,positive,positive,positive,2
6,positive,positive,positive,2
7,positive,positive,positive,2
8,neutral,positive,positive,2
9,positive,positive,positive,2
10,negative,negative,negative,0
11,positive,positive,positive,2
12,positive,positive,positive,2
13,positive,positive,positive,2
14,positive,positive,positive,2
15,positive,positive,positive,2
16,positive,positive,positive,2
17,positive,positive,positive,2
18,neutral,positive,positive,2
19,negative,negative,negative,0
20,neutral,positive,positive,2
21,positive,positive,positive,2
22,negative,negative,negative,0
23,positive,positive,positive,2
24,neutral,neutral,neutral,1
25,neutral,neutral,neutral,1
26,neutral,neutral,neutral,1
27,neutral,neutral,neutral,1
28,neutral,positive,positive,2
29,neutral,positive,positive,2
30,neutral,negative,negative,0
31,positive,positive,positive,2
32,neutral,positive,positive,2
33,neutral,neutral,neutral,1
34,positive,positive,positive,2
35,neutral,positive,positive,2
36,positive,positive,positive,2
38,positive,positive,positive,2
39,neutral,neutral,neutral,1
40,positive,positive,positive,2
41,neutral,negative,negative,0
42,positive,positive,positive,2
43,neutral,positive,positive,2
44,neutral,positive,positive,2
45,neutral,positive,positive,2
46,neutral,neutral,neutral,1
47,neutral,positive,positive,2
48,neutral,positive,positive,2
49,neutral,positive,positive,2
51,positive,neutral,positive,2
52,neutral,negative,negative,0
53,neutral,positive,positive,2
54,positive,positive,positive,2
55,neutral,negative,negative,0
56,neutral,neutral,neutral,1
57,positive,neutral,positive,2
58,positive,positive,positive,2
59,neutral,positive,positive,2
60,neutral,positive,positive,2
61,neutral,positive,positive,2
62,positive,neutral,positive,2
63,neutral,positive,positive,2
64,neutral,negative,negative,0
65,positive,positive,positive,2
66,positive,positive,positive,2
67,positive,positive,positive,2
68,positive,positive,positive,2
69,negative,negative,negative,0
70,neutral,positive,positive,2
71,neutral,positive,positive,2
72,neutral,negative,negative,0
73,neutral,neutral,neutral,1
74,positive,neutral,positive,2
75,neutral,negative,negative,0
76,positive,positive,positive,2
77,positive,positive,positive,2
78,neutral,positive,positive,2
79,positive,positive,positive,2
80,negative,negative,negative,0
81,positive,positive,positive,2
82,positive,neutral,positive,2
83,positive,positive,positive,2
84,positive,neutral,positive,2
85,neutral,neutral,neutral,1
86,positive,neutral,positive,2
87,negative,negative,negative,0
88,positive,positive,positive,2
89,positive,positive,positive,2
91,positive,positive,positive,2
92,positive,positive,positive,2
93,negative,negative,negative,0
94,positive,positive,positive,2
95,positive,positive,positive,2
96,positive,positive,positive,2
97,negative,negative,negative,0
98,positive,positive,positive,2
99,neutral,positive,positive,2
100,positive,positive,positive,2
101,neutral,positive,positive,2
102,neutral,positive,positive,2
103,positive,positive,positive,2
104,neutral,neutral,neutral,1
105,neutral,neutral,neutral,1
106,neutral,neutral,neutral,1
107,neutral,positive,positive,2
108,neutral,neutral,neutral,1
109,neutral,positive,positive,2
110,negative,negative,negative,0
111,positive,positive,positive,2
112,positive,positive,positive,2
113,neutral,positive,positive,2
114,positive,positive,positive,2
115,positive,positive,positive,2
116,neutral,neutral,neutral,1
117,neutral,neutral,neutral,1
118,negative,negative,negative,0
119,neutral,negative,negative,0
120,positive,positive,positive,2
121,positive,positive,positive,2
122,positive,positive,positive,2
123,positive,positive,positive,2
124,positive,positive,positive,2
125,neutral,positive,positive,2
126,neutral,positive,positive,2
127,positive,neutral,positive,2
128,positive,neutral,positive,2
129,neutral,positive,positive,2
130,negative,negative,negative,0
131,negative,negative,negative,0
132,neutral,positive,positive,2
133,neutral,positive,positive,2
134,neutral,negative,negative,0
135,neutral,positive,positive,2
136,neutral,neutral,neutral,1
137,positive,positive,positive,2
138,neutral,positive,positive,2
139,positive,neutral,positive,2
140,neutral,neutral,neutral,1
141,neutral,positive,positive,2
142,neutral,neutral,neutral,1
143,positive,neutral,positive,2
144,positive,positive,positive,2
145,positive,positive,positive,2
146,neutral,neutral,neutral,1
147,neutral,positive,positive,2
148,neutral,positive,positive,2
149,positive,positive,positive,2
151,positive,positive,positive,2
153,negative,neutral,negative,0
154,positive,positive,positive,2
155,neutral,neutral,neutral,1
156,positive,positive,positive,2
157,neutral,positive,positive,2
158,neutral,negative,negative,0
159,negative,neutral,negative,0
161,positive,positive,positive,2
162,positive,positive,positive,2
163,positive,positive,positive,2
164,negative,negative,negative,0
165,neutral,neutral,neutral,1
166,positive,positive,positive,2
167,positive,neutral,positive,2
168,neutral,positive,positive,2
169,neutral,negative,negative,0
170,positive,neutral,positive,2
171,positive,positive,positive,2
172,positive,positive,positive,2
173,positive,neutral,positive,2
174,positive,neutral,positive,2
175,positive,positive,positive,2
176,neutral,positive,positive,2
177,neutral,positive,positive,2
178,positive,positive,positive,2
179,negative,negative,negative,0
180,neutral,neutral,neutral,1
181,neutral,neutral,neutral,1
182,positive,positive,positive,2
183,positive,neutral,positive,2
184,neutral,neutral,neutral,1
185,positive,positive,positive,2
186,negative,negative,negative,0
187,neutral,positive,positive,2
188,negative,negative,negative,0
189,negative,neutral,negative,0
190,negative,neutral,negative,0
191,positive,positive,positive,2
192,neutral,positive,positive,2
193,neutral,positive,positive,2
194,negative,negative,negative,0
195,negative,negative,negative,0
196,negative,negative,negative,0
197,positive,positive,positive,2
198,neutral,neutral,neutral,1
199,positive,positive,positive,2
201,negative,negative,negative,0
202,negative,negative,negative,0
203,negative,negative,negative,0
204,negative,negative,negative,0
205,negative,negative,negative,0
207,neutral,positive,positive,2
208,negative,negative,negative,0
209,neutral,positive,positive,2
210,positive,positive,positive,2
211,neutral,neutral,neutral,1
212,neutral,positive,positive,2
213,positive,positive,positive,2
214,positive,positive,positive,2
215,positive,positive,positive,2
216,positive,positive,positive,2
217,positive,positive,positive,2
218,neutral,positive,positive,2
219,neutral,neutral,neutral,1
220,neutral,positive,positive,2
221,positive,positive,positive,2
222,positive,positive,positive,2
223,neutral,positive,positive,2
224,positive,positive,positive,2
225,neutral,positive,positive,2
226,neutral,positive,positive,2
227,neutral,positive,positive,2
228,neutral,positive,positive,2
229,positive,positive,positive,2
230,positive,positive,positive,2
231,positive,positive,positive,2
232,negative,negative,negative,0
233,positive,positive,positive,2
234,neutral,negative,negative,0
237,positive,positive,positive,2
239,positive,positive,positive,2
240,positive,neutral,positive,2
241,positive,positive,positive,2
242,positive,positive,positive,2
243,neutral,neutral,neutral,1
244,neutral,positive,positive,2
245,neutral,neutral,neutral,1
246,negative,negative,negative,0
247,positive,positive,positive,2
248,neutral,negative,negative,0
249,negative,negative,negative,0
250,neutral,negative,negative,0
251,neutral,positive,positive,2
252,neutral,positive,positive,2
253,negative,negative,negative,0
254,negative,negative,negative,0
255,negative,negative,negative,0
256,positive,neutral,positive,2
257,positive,positive,positive,2
258,neutral,negative,negative,0
259,neutral,positive,positive,2
260,negative,negative,negative,0
261,neutral,positive,positive,2
263,neutral,positive,positive,2
264,negative,negative,negative,0
265,neutral,positive,positive,2
266,positive,positive,positive,2
267,neutral,positive,positive,2
268,positive,positive,positive,2
269,neutral,neutral,neutral,1
270,neutral,positive,positive,2
271,neutral,positive,positive,2
272,negative,negative,negative,0
273,negative,negative,negative,0
274,positive,positive,positive,2
275,positive,positive,positive,2
276,positive,positive,positive,2
277,positive,positive,positive,2
278,positive,positive,positive,2
279,positive,positive,positive,2
280,negative,negative,negative,0
281,positive,positive,positive,2
282,positive,positive,positive,2
283,neutral,positive,positive,2
284,positive,positive,positive,2
285,negative,negative,negative,0
286,positive,positive,positive,2
287,positive,neutral,positive,2
288,positive,positive,positive,2
289,positive,positive,positive,2
290,positive,positive,positive,2
291,positive,positive,positive,2
292,positive,positive,positive,2
293,positive,positive,positive,2
294,positive,positive,positive,2
295,positive,positive,positive,2
297,negative,negative,negative,0
298,positive,positive,positive,2
299,positive,positive,positive,2
300,positive,positive,positive,2
302,negative,negative,negative,0
303,positive,neutral,positive,2
304,neutral,positive,positive,2
305,positive,neutral,positive,2
306,positive,positive,positive,2
307,positive,neutral,positive,2
308,neutral,positive,positive,2
310,positive,neutral,positive,2
311,positive,positive,positive,2
312,negative,negative,negative,0
313,negative,negative,negative,0
314,neutral,positive,positive,2
315,positive,positive,positive,2
316,negative,negative,negative,0
318,negative,negative,negative,0
320,negative,negative,negative,0
321,positive,positive,positive,2
322,neutral,positive,positive,2
323,negative,negative,negative,0
325,positive,positive,positive,2
326,positive,positive,positive,2
327,negative,negative,negative,0
328,positive,positive,positive,2
329,positive,positive,positive,2
330,neutral,neutral,neutral,1
331,negative,negative,negative,0
333,negative,negative,negative,0
334,negative,negative,negative,0
335,neutral,neutral,neutral,1
336,positive,positive,positive,2
337,positive,positive,positive,2
338,positive,positive,positive,2
339,positive,positive,positive,2
340,neutral,neutral,neutral,1
341,positive,positive,positive,2
342,neutral,positive,positive,2
343,positive,neutral,positive,2
344,negative,negative,negative,0
345,neutral,negative,negative,0
347,negative,negative,negative,0
348,neutral,negative,negative,0
349,negative,negative,negative,0
350,positive,neutral,positive,2
352,neutral,positive,positive,2
353,positive,neutral,positive,2
354,neutral,negative,negative,0
355,neutral,positive,positive,2
356,neutral,neutral,neutral,1
357,neutral,positive,positive,2
358,neutral,neutral,neutral,1
359,neutral,positive,positive,2
360,neutral,positive,positive,2
361,negative,neutral,negative,0
363,neutral,positive,positive,2
364,neutral,negative,negative,0
365,positive,positive,positive,2
366,positive,positive,positive,2
367,neutral,negative,negative,0
368,positive,positive,positive,2
369,positive,positive,positive,2
370,negative,negative,negative,0
371,negative,negative,negative,0
372,neutral,positive,positive,2
374,neutral,neutral,neutral,1
375,neutral,negative,negative,0
376,negative,neutral,negative,0
377,neutral,negative,negative,0
378,neutral,positive,positive,2
379,neutral,negative,negative,0
381,positive,neutral,positive,2
382,negative,negative,negative,0
383,negative,negative,negative,0
384,negative,negative,negative,0
385,negative,negative,negative,0
389,neutral,negative,negative,0
390,neutral,negative,negative,0
392,negative,negative,negative,0
393,neutral,positive,positive,2
394,positive,positive,positive,2
395,positive,positive,positive,2
396,neutral,neutral,neutral,1
398,negative,negative,negative,0
399,neutral,positive,positive,2
400,neutral,negative,negative,0
401,neutral,positive,positive,2
402,neutral,negative,negative,0
403,positive,positive,positive,2
405,neutral,neutral,neutral,1
406,positive,positive,positive,2
407,neutral,positive,positive,2
408,positive,positive,positive,2
409,positive,positive,positive,2
410,positive,positive,positive,2
